subject,description,priority,category
"API returning Timeout Error","Our application is receiving a consistent 'Timeout Error' from the /v1/auth/token endpoint. This started a few minutes ago.","Critical","Technical"
"Incorrect charge of $1,200","I was charged $1,200 but my plan is the Starter plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"Request to delete account","Please proceed with the permanent deletion of our account (Innovate Inc.) and all associated data as per our company policy.","Medium","Account"
"Feature Idea: 2FA support via authenticator app","It would be extremely helpful if you could add a 2FA support via authenticator app. This would help us update payment info much more efficiently.","Low","Feature Request"
"Dashboard not loading","The reporting module is showing a blank white screen. No data is loading. This is impacting all our users since this morning.","Critical","Technical"
"High latency in US-West-2","We're observing response times of over 2.5s from the core application in US-West-2. This is a major degradation.","High","Technical"
"UI bug on user profile","When we try to save changes on the user profile, the user management page behaves unexpectedly. It should do X but it does Y instead.","Medium","Technical"
"Payment method declined","My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?","High","Billing"
"Feature Idea: role-based access control","It would be extremely helpful if you could add a role-based access control. This would help us view reports much more efficiently.","Low","Feature Request"
"Request to delete account","Please proceed with the permanent deletion of our account (Stellar Solutions) and all associated data as per our company policy.","Medium","Account"
"Need to change primary email","I need to update the primary email address on my account, but the interface does not allow me to change it.","Medium","Account"
"Export to XLSX is broken","The data export feature for XLSX is generating an empty or corrupted file. We have tried multiple times.","High","Technical"
"Add team member to QuantumLeap","How do I invite a new developer to our team? I can't find the option in the account settings.","Low","Account"
"Authentication failure for v2/users","Our application is receiving a consistent '401 Unauthorized' from the /v2/users endpoint. This started yesterday at 4 PM UTC.","High","Technical"
"Webhook delivery failing","We stopped receiving 'user.created' webhooks. The last successful delivery was this morning. We have checked our endpoint and it is healthy.","High","Technical"
"Cannot update payment info","Multiple users are unable to update payment info when using from our mobile app (iOS). The console shows a JavaScript error.","High","Technical"
"Need to cancel subscription","Please cancel our Pro subscription at the end of the current billing cycle. We no longer require the service.","Medium","Billing"
"Suggestion for API endpoint /v1/invoices","Could you enhance the /v1/invoices endpoint to include sorting by metadata? This would save us from making multiple API calls.","Low","Feature Request"
"User permission bug","A user with an 'Admin' role cannot access the API keys section; they are getting a 'permission denied' error.","High","Account"
"Question about billing cycle","My billing cycle is supposed to be on the 15th of the month, but I was just charged today. Can you clarify why?","Medium","Billing"
"Incorrect charge of $499","I was charged $499 but my plan is the Starter plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"Dashboard not loading","The user management page is showing a blank white screen. No data is loading. This is impacting all our users since a few minutes ago.","Critical","Technical"
